question5 = "Please describe what are users' rights related to the data items found in your response to question2"	20 clusters
------------------------------
Cluster 0
GPT:  Right to be informed about the collection and use of personal data.
GPT:  Right to be informed about what categories of personal information are being collected and the purposes for which the personal information is being used
GPT:  User right to be informed about the collection and use of their personal information
GPT:  Right to be informed about the collection and use of their personal information
GPT:  Users have the right to know what Personal Information about them is being collected.
GPT:  Right to be informed about the collection and use of personal information
GPT:  Right to be informed about the collection and use of their personal information
GPT:  Right to be informed about the collection and use of their Personal Information
CAGPT:  Users have the right to be informed about the collection and use of their personal information.
CAGPT:  Users have the right to know about the personal information collected, used, and disclosed
---------------------------
Cluster 1
GPT:  Users have the right to access personal data held about them and to request correction or erasure of their personal data.
GPT:  Right to access personal data.
GPT:  Right to rectification of inaccurate personal data.
GPT:  Right to restrict processing of personal data.
GPT:  Right to data portability of provided data.
GPT:  Right to object to the processing of personal data.
GPT:  Right to withdraw consent where processing is based on consent.
GPT:  Users have the right to request access to and correction of their personal information. 
GPT:  Users have the right to request the deletion of their personal information.
GPT:  Right to access personal identification information
GPT:  Right to request access to personal contact details.
GPT:  Users have the right to request access to their personal contact information
GPT:  Right to access and rectify Personal Information collected
GPT:  You have the right to request correction of inaccurate personal information about you or to complete information you think is incomplete.
GPT:  Right to request access to and correction of their personal information
GPT:  Right to withdraw consent for the collection, use, and/or disclosure of their personal information
GPT:  Right to request deletion of their personal information, subject to certain conditions and exceptions
GPT:  Right to access personal information
GPT:  Right to correction of personal information
GPT:  Right to delete personal information
GPT:  Right to request a restriction on processing personal information
GPT:  Right to withdraw consent for data use
GPT:  Right to access, modify, or delete Personal Information.
GPT:  Right to know what personal information is collected.
GPT:  Right of access to their personal information.
GPT:  Right to correction of their personal information.
GPT:  Right to erasure of their personal information.
GPT:  Right to restrict processing of their personal information.
GPT:  Right to object to processing of their personal information.
GPT:  Right to portability of their personal information.
GPT:  Right to know what personal information is being collected about you.
GPT:  Right to know whether personal information is sold or disclosed and to whom.
GPT:  Right to request access to personal data
GPT:  Right to request correction of personal data
GPT:  Right to request erasure of personal data
GPT:  Right to request restriction of processing personal data
GPT:  Right to object to processing of personal data
GPT:  Users have the right to access their personal data.
GPT:  Users have the right to rectification of their personal data.
GPT:  Users have the right to erasure of their personal data.
GPT:  Users have the right to restrict processing of their personal data.
GPT:  Users have the right to object to processing of their personal data.
GPT:  Users have the right to data portability.
GPT:  Right to access personal information
GPT:  Right to request the deletion of personal information
GPT:  User right to rectify inaccurate personal information
GPT:  User right to restrict processing of their personal information
GPT:  User right to data portability of their personal information
GPT:  Right to access and obtain a copy of personal data
GPT:  Right to restrict processing of personal data
GPT:  Users have the right to access, copy, or erase their personal information.
GPT:  Users have the right to correct their personal information.
GPT:  Right to request information about personal information collected.
GPT:  Right to request deletion of personal information.
GPT:  Right to correct inaccurate personal information.
GPT:  Right to access their personal information
GPT:  Right to rectification of inaccurate personal information
GPT:  Right to erasure of their personal information in certain circumstances
GPT:  Right to restrict processing of their personal information
GPT:  Right to data portability of their personal information
GPT:  Right to object to processing of their personal information
GPT:  Users have the right to request access to their contact details.
GPT:  Users have the right to request deletion of their data under certain circumstances.
GPT:  Right to request access to your personal data
GPT:  Right to request correction of inaccurate personal data held about you
GPT:  Right to request erasure of your personal data
GPT:  Right to object to processing of your personal data
GPT:  Right to request restriction of processing your personal data
GPT:  Right to withdraw consent at any time where consent is the basis for processing your data
GPT:  Right to be informed about the categories and specific pieces of personal data collected
GPT:  Right to have personal data erased or deleted
GPT:  Right to restrict processing of personal data
GPT:  Users have the right to correct or delete their personal records.
GPT:  Right to access and update personal information
GPT:  Users have the right to access their Personal Information.
GPT:  Users have the right to request correction or deletion of their Personal Information.
GPT:  Users have the right to request access to the personal information held about them and that it be amended or deleted.
GPT:  Users have the right to access, amend, or delete their personal information.
GPT:  Users have the right to access and update their Personal Information.
GPT:  Users have the right to review personal information collected during visits to or use of the Site and make corrections if necessary.
GPT:  Right to access personal data
GPT:  Right to rectification of personal data
GPT:  Right to erasure of personal data
GPT:  Right to restriction of processing of personal data
GPT:  Right to data portability
GPT:  Right to withdraw consent
GPT:  Right to access and/or obtain a copy of personal data held
GPT:  Right to correct or update personal data
GPT:  Right to delete personal data
GPT:  Users have the right to request deletion or anonymization of their Personal Data.
GPT:  Users have the right to correct and update inaccurate Personal Data.
GPT:  Right to access, update, and correct contact information
GPT:  Personal data access right
GPT:  Personal data correction right
GPT:  Personal data erasure right
GPT:  Restriction of processing personal data right
GPT:  Request erasure of your personal data
GPT:  Request the restriction of processing of your personal data
GPT:  Right to withdraw consent
GPT:  Right to update and correct personal information
GPT: . Right to access personal data provided to us
GPT:  Right to request deletion of their personal information
GPT:  Right to request disclosure of categories and specific pieces of personal information collected about them
GPT:  Contact information right: Users have the right to access, correct or delete their contact information.
GPT:  Users have the right to correct inaccurate Personal Information.
GPT:  Users have the right to delete their Personal Information under certain conditions.
GPT:  Users have the right to object to or restrict the processing of their Personal Information.
GPT:  Users have the right to data portability, which allows them to receive their Personal Information in a common format or have it transferred to another data controller.
GPT:  Users have the right to withdraw consent at any time for data processing based on consent.
GPT:  Right to access and correct personal information
GPT:  Users have the right to access and correct their contact information.
GPT:  Right to correct inaccuracies in their Personal Information.
GPT:  Right to request deletion of their Personal Information unless legally obligated to retain it.
GPT:  Right to erasure/deletion
GPT:  Right to restriction of processing
GPT:  Right to portability
GPT:  Right to withdraw consent
GPT:  Right to access Basic Personal Data
GPT:  Right to withdraw consent on Anonymous statistical data usage
GPT:  Right to object to Activity data processing
GPT:  Right to request a copy of the personal information held
GPT:  Right to have any inaccuracies in personal information corrected
GPT:  Right to object to processing of personal information
GPT:  Right to withdraw consent at any time where processing is based on consent
GPT:  Users have the right to access and update their name.
GPT:  Users have the right to request access to, amendment of, or deletion of their personal information.
GPT:  Users have the right to access, rectify, or update their Contact Information.
GPT:  Right to access their personal information
GPT:  Right to correct inaccuracies in their personal information
GPT:  Right to have their personal information deleted
GPT:  Right to restrict processing of their personal information
GPT:  Right to data portability of their personal information
GPT:  Right to access personal information
GPT:  Right to update or correct personal information
GPT:  Right to data portability
GPT:  Right to deletion of personal data
GPT:  Right to access, modify, correct, and request deletion of personal information.
GPT:  Users have the right to request access to their personal information
GPT:  Users have the right to request correction of their personal information
GPT:  Users have the right to request deletion of their personal information
GPT:  Users have the right to request restriction of or object to processing of their personal information
GPT:  Users have the right to withdraw consent for data processing
GPT:  Users have the right to data portability
GPT:  Right to access personal information
GPT:  Right to rectify incorrect personal information
GPT:  Right to erasure of personal information in certain situations
GPT:  Right to request access to their Personal Information
GPT:  Right to request correction of their Personal Information
GPT:  Right to request deletion of their Personal Information
GPT:  Right to request deletion of PI
GPT:  Right to correct any inaccurate PI
GPT:  Right to access personal data being collected.
GPT:  Right to request correction of incorrect or incomplete personal information.
GPT: . Right to request deletion of personal information under certain conditions.
GPT:  Right to delete or erase personal data
GPT:  Right to change or correct personal data
GPT:  User right to delete or erase personal data.
GPT:  User right to object to, limit or restrict the use of personal data.
GPT:  Users have the right to access and update their provided Personal Information.
GPT:  Users have the right to request access to any personal information held about them
GPT: . Users have the right to request erasure of their personal information
GPT:  Users can request the correction or deletion of their personal information.
GPT:  Users have the right to object to certain processing of their personal information.
GPT:  Users have the right to request the deletion of their Personal Information
GPT:  Right to access and obtain a copy of personal details
GPT:  Users have the right to request correction or deletion of their personal information.
GPT:  Right to correct personal information.
GPT:  Right to access personal information.
GPT:  Right to delete personal information.
GPT:  Right to access and receive a copy of personal information on request
GPT:  Right to request changes or deletion of personal information
GPT:  Right to request restriction on processing of personal information
GPT:  Item 3 user right: Request changes, amendments, deletion of personal information
GPT:  Opportunity to access, update, correct, delete, and/or port personal information.
GPT:  Right to access personal data
GPT:  Right to correct incorrect personal data
GPT:  Right to request restriction or deletion of personal data
GPT:  Right to object to processing of personal data
GPT:  Right to delete or change personal information at any time
GPT:  Users have the right to access their personal information.
GPT:  Users have the right to request the deletion of their personal information.
GPT:  Users have the right to access and correct their contact information
GPT:  Request erasure of your personal data
GPT:  Request restriction of processing your personal data
GPT:  Right to update, correct, access, or delete personal information.
GPT:  Right to request restrictions on processing personal information.
GPT:  Right to data portability.
GPT:  Right to correct inaccuracies in personal information.
GPT:  Users have the right to know, access, and delete their personal information.
GPT:  Right to access and edit personal information
GPT:  Right to delete account information
GPT:  Right to request information on data collected
GPT:  Right to correct any inaccuracies in personal information
GPT:  Right to restrict processing of personal information user right
GPT:  Right to data portability user right
GPT:  Right to object to the processing of personal information user right
GPT:  Users have the right to review and correct their Personal Information.
GPT:  Users have the right to delete their Personal Information upon request.
GPT:  Right to access and update Personal Information.
GPT:  Users have the right to access their Personal Identifiers and request correction or deletion.
GPT:  Users have the right to access and update their Name.
GPT:  Right to request access to personal information.
GPT:  Right to request corrections to personal information.
GPT:  Right to request that personal information be erased.
GPT:  Right to request the restriction on processing of personal information.
GPT:  Right to request the return of personal information.
GPT:  Right to withdraw consent for the use of personal information.
GPT:  Right to request rectification of inaccurate personal data.
GPT:  Right to restrict processing in specific circumstances.
